DATA_TYPE MOVIE
VERSION Tekscan Pressure Measurement System 7.60-14I
HARDWARE 112-14, 02_2_3
MAP_VERSION 8.0
HW_TYPE 4
VersaPogoFsx 1
FILENAME C:\Users\u21022934\Desktop\VDG_Stuff\PhD\Tekscan\Tyre 100ptread\TM700Fz560Tr100r2.fsx
SENSOR_TYPE 8001
ROWS 88
COLS 96
ROW_SPACING 3.048 millimeters
COL_SPACING 3.048 millimeters
SENSEL_AREA 9.2903 mm2
NOISE_THRESHOLD 3
SECONDS_PER_FRAME 0.25
MICRO_SECOND 1
TIME 2020/09/15 14:08:39.9
SENSITIVITY S-28
MAP_INDEX 0
SUBMAP 0
START_FRAME 286
END_FRAME 286
UNITS raw
MIRROR_ROW 0
MIRROR_COL 0
ASCII_DATA @@

Frame 286, 71.8,, 2020/09/15 14:09:51.7,,,Raw Sum=,,86449
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,223,176,150,139,70,94,156,137,132,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,87,101,117,106,93,74,56,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,237,144,159,114,93,117,155,138,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,101,137,114,95,99,92,62,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,170,165,135,146,152,191,156,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,98,122,118,92,85,96,88,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,204,155,136,165,140,192,179,118,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,95,123,106,99,91,80,84,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,194,168,155,148,164,146,158,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,49,106,122,112,107,99,102,80,78,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,5,3,3,3,0,4,4,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,190,160,193,245,163,123,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,70,109,109,123,103,110,99,100,97,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0,3,3,0,4,3,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,194,168,182,159,119,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,89,124,142,103,95,78,85,84,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4,0,3,3,0,4,3,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,53,107,121,127,107,104,91,83,88,58,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3,0,3,3,3,4,3,3,0,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,57,116,120,132,123,106,94,94,72,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,3,3,0,3,4,4,5,4,4,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,92,109,152,146,128,104,112,95,94,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
